VerbAtlas 1.1.0 - SapienzaNLP - LICENSE: CC BY-SA-NC 4.0 - http://verbatlas.org
va:0043p	bn:00034625n	flame	https://upload.wikimedia.org/wikipedia/commons/1/16/Australia_Cairns_Flame.jpg
va:0044p	bn:00012321n	flora	https://upload.wikimedia.org/wikipedia/commons/7/7c/Bergwiese-Kaernten-2008-Thomas_Huntke.jpg
va:0045p	bn:00035650n	food	https://upload.wikimedia.org/wikipedia/commons/6/64/Foods_%28cropped%29.jpg
va:0046p	bn:00037180n	game	https://upload.wikimedia.org/wikipedia/commons/d/d9/Opening_chess_position_from_black_side.jpg
va:0047p	bn:00037382n	gas	https://upload.wikimedia.org/wikipedia/commons/f/f0/Purplesmoke.jpg
va:0048p	bn:00040336n	gesture	https://upload.wikimedia.org/wikipedia/commons/2/2c/Thumbs_up.jpg
va:0049p	bn:00043415n	heat	https://upload.wikimedia.org/wikipedia/commons/a/a9/Hot_metalwork.jpg
va:0050p	bn:00044274n	hit	https://upload.wikimedia.org/wikipedia/commons/a/a0/Red_Sox_Yankees_Game_Boston_July_2012-5.jpg
va:0051p	bn:00044576n	human	https://upload.wikimedia.org/wikipedia/commons/3/30/PPplaquecloseup.svg
va:0052p	bn:00045800n	idea	https://upload.wikimedia.org/wikipedia/commons/f/fe/Otto_Merkt_von_Akos.jpg
va:0053p	bn:00046705n	information	https://upload.wikimedia.org/wikipedia/commons/a/a5/Messagebox_info.svg
va:0054p	bn:00031641n	institution	https://upload.wikimedia.org/wikipedia/commons/d/d4/Bank_of_England_Building%2C_London%2C_UK_-_Diliff.jpg
va:0055p	bn:00027356n	instructions	https://upload.wikimedia.org/wikipedia/commons/4/4c/Ciencias_sociais.svg
va:0056p	bn:00048996n	key	https://www.clickykeyboard.com/2005/das_keyboard/das_keyboard-006.jpg
va:0057p	bn:00020452n	knowledge	https://upload.wikimedia.org/wikipedia/commons/f/f7/Canons_of_medicine.JPG
va:0058p	bn:00049924n	language_unit	https://upload.wikimedia.org/wikipedia/commons/2/2e/Book_icon.png
va:0059p	bn:00048655n	law	https://upload.wikimedia.org/wikipedia/commons/c/c5/Statua_Iustitiae.jpg
va:0060p	bn:00050371n	leader	https://upload.wikimedia.org/wikipedia/commons/5/5d/David_et_Salomon%2C_vitrail_roman%2C_Cath%C3%A9drale_de_Strasbourg.jpg
va:0061p	bn:00051108n	light	https://upload.wikimedia.org/wikipedia/commons/a/a4/Chicago_Union_Station_1943.jpg
va:0062p	bn:00051471n	liquid	https://upload.wikimedia.org/wikipedia/commons/a/ab/2006-01-28_Drop-impact.jpg
va:0063p	bn:00004257n	living_thing	https://upload.wikimedia.org/wikipedia/en/3/3f/Herds_Maasi_Mara_%28cropped_and_straightened%29.jpg
va:0064p	bn:00051760n	location	https://upload.wikimedia.org/wikipedia/commons/1/13/Latitude_%28PSF%29.png
va:0065p	bn:00052757n	magnitude	https://upload.wikimedia.org/wikipedia/commons/2/2b/Drehmoment.svg
va:0066p	bn:00053801n	material	https://upload.wikimedia.org/wikipedia/commons/8/80/Debut_de_grippage.jpg
va:0067p	bn:00053867n	matter	https://upload.wikimedia.org/wikipedia/commons/4/4a/Quartz_oisan.jpg
va:0068p	bn:01731490n	means_of_transportation	https://upload.wikimedia.org/wikipedia/commons/3/3e/I-80_Eastshore_Fwy.jpg
va:0069p	bn:00054128n	medicine	https://upload.wikimedia.org/wikipedia/commons/6/65/12-08-18-tilidin-retard.jpg
va:0070p	bn:00054159n	medium_of_exchange	https://upload.wikimedia.org/wikipedia/commons/6/63/WikiProject_Numismatics_logo.svg
va:0071p	bn:00055642n	monetary_unit	https://upload.wikimedia.org/wikipedia/commons/a/a1/2002_currency_exchange_AIGA_euro_money.png
va:0072p	bn:00056443n	music	https://upload.wikimedia.org/wikipedia/commons/f/f8/Claves.png
va:0073p	bn:00037743n	musical_genre	https://upload.wikimedia.org/wikipedia/commons/e/e3/Louis_Armstrong_NYWTS.jpg
va:0074p	bn:00046965n	musical_instrument	https://upload.wikimedia.org/wikipedia/commons/2/2d/Bartholomeo_Bettera_-_Still_Life_with_Musical_Instruments_and_Books_-_Google_Art_Project.jpg
va:0075p	bn:00056990n	natural_language	https://upload.wikimedia.org/wikipedia/commons/4/4b/Icon_talk.svg
va:0076p	bn:00057171n	needlework	https://farm4.static.flickr.com/3527/3769899417_2eac497125.jpg
va:0077p	bn:00005659n	nobility	https://upload.wikimedia.org/wikipedia/commons/7/73/Crown_of_Savoy.svg
va:0078p	bn:00058285n	number	https://upload.wikimedia.org/wikipedia/commons/d/df/Compa.jpg
va:0079p	bn:00005845n	odor	https://upload.wikimedia.org/wikipedia/commons/d/d7/Bee_and_grape_cluster.jpg
va:0080p	bn:00061011n	pathological_state	https://upload.wikimedia.org/wikipedia/commons/a/a0/Heart_anterior_exterior_view.jpg
va:0081p	bn:00046516n	person	https://upload.wikimedia.org/wikipedia/commons/6/68/Inuit_women_1907.jpg
